Run	Ship 1 #	Ship 1 vel [m/s]	Ship 1 capacity	Ship 1 score [m/s]	Ship 2 #	Ship 2 vel [m/s]	Ship 2 capacity	Ship 2 score [m/s]	Ship 3 #	Ship 3 vel [m/s]	Ship 3 capacity	Ship 3 score [m/s]	Saved	Remaining	Time [h]	Saves up to critical	People Dead 
1	1	12.86	17	218.62	3	3.0864	6	18.5184	3	18.003999999999998	56	1008.2239999999999	194	0	32.79	47	80
2	2	12.86	17	218.62	3	3.0864	6	18.5184	1	18.003999999999998	56	1008.2239999999999	109	85	18.63	36	80
3	4	12.86	17	218.62	2	3.0864	6	18.5184	9	18.003999999999998	56	1008.2239999999999	194	0	32.85	72	80
4	3	12.86	17	218.62	2	3.0864	6	18.5184	4	18.003999999999998	56	1008.2239999999999	194	0	32.82	72	80
5	5	12.86	17	218.62	8	3.0864	6	18.5184	3	18.003999999999998	56	1008.2239999999999	194	0	32.79	72	80
6	6	12.86	17	218.62	5	3.0864	6	18.5184	3	18.003999999999998	56	1008.2239999999999	194	0	32.80	84	80
7	7	12.86	17	218.62	3	3.0864	6	18.5184	6	18.003999999999998	56	1008.2239999999999	194	0	32.80	96	80
8	1	12.86	17	218.62	5	3.0864	6	18.5184	7	18.003999999999998	56	1008.2239999999999	194	0	32.83	48	80
9	4	12.86	17	218.62	8	3.0864	6	18.5184	3	18.003999999999998	56	1008.2239999999999	194	0	32.79	71	80
10	6	12.86	17	218.62	7	3.0864	6	18.5184	2	18.003999999999998	56	1008.2239999999999	194	0	32.78	83	80
11	1	12.86	17	218.62	8	3.0864	6	18.5184	3	18.003999999999998	56	1008.2239999999999	194	0	32.80	48	80
12	8	12.86	17	218.62	2	3.0864	6	18.5184	8	18.003999999999998	56	1008.2239999999999	194	0	32.80	107	80
13	5	12.86	17	218.62	1	3.0864	6	18.5184	8	18.003999999999998	56	1008.2239999999999	194	0	32.80	84	80
14	8	12.86	17	218.62	3	3.0864	6	18.5184	8	18.003999999999998	56	1008.2239999999999	194	0	33.17	108	80
